Date,User ID,Account,Category,Subcategory,Note,INR,Income/Expense,Note_dup,Amount,Currency,Account_dup,Logging Date
12/18/2025 13:06,20,UPI,Bills,Internet,Quick bite,2210.07,Expense,,2210.07,INR,UPI,2025-12-18 10:14:23
12/18/2025 12:53,78,UPI,Food,Dinner,Impulse buy,565.68,Expense,,565.68,INR,UPI,2025-12-18 10:14:23
12/18/2025 12:06,27,Credit Card,Travel,Tour,Subscription,694.18,Expense,,694.18,INR,Credit Card,2025-12-18 10:14:23
12/18/2025 11:17,51,UPI,Entertainment,Streaming,Weekly stock-up,973.8,Expense,,973.80,INR,UPI,2025-12-18 10:14:23
12/18/2025 11:13,65,Auto Debit,Health,Gym,Utility payment,707.94,Expense,,707.94,INR,Auto Debit,2025-12-18 10:14:23
12/18/2025 11:09,60,Wallet,Bills,Electricity,Subscription,2091.35,Expense,,2091.35,INR,Wallet,2025-12-18 10:14:23
12/18/2025 10:34,75,Debit Card,Travel,Hotels,Ride to office,1004.73,Expense,,1004.73,INR,Debit Card,2025-12-18 10:14:23
12/18/2025 10:05,53,Debit Card,Entertainment,Streaming,Ride to office,2311.91,Expense,,2311.91,INR,Debit Card,2025-12-18 10:14:23
12/18/2025 09:55,2,Auto Debit,Entertainment,Concert,Quick bite,67.24,Expense,,67.24,INR,Auto Debit,2025-12-18 10:14:22
12/18/2025 09:38,62,UPI,Bills,Rent,Weekly stock-up,1060.11,Expense,,1060.11,INR,UPI,2025-12-18 10:14:23
12/18/2025 09:32,39,Wallet,Other,Donation,Ride to office,1150.32,Expense,,1150.32,INR,Wallet,2025-12-18 10:14:23
12/18/2025 08:35,18,Auto Debit,Shopping,Essentials,Impulse buy,312.5,Expense,,312.50,INR,Auto Debit,2025-12-18 10:14:23
12/18/2025 08:30,86,Debit Card,Transportation,Fuel,Utility payment,542.9,Expense,,542.90,INR,Debit Card,2025-12-18 10:14:23
12/18/2025 08:23,49,Debit Card,Education,Courses,Salary credit,7216.97,Income,,7216.97,INR,Debit Card,2025-12-18 10:14:23
12/18/2025 07:46,65,Credit Card,Transportation,Metro,Weekend plan,566.24,Expense,,566.24,INR,Credit Card,2025-12-18 10:14:23
12/18/2025 06:57,46,UPI,Transportation,Cab,Weekend plan,1465.41,Expense,,1465.41,INR,UPI,2025-12-18 10:14:23
12/18/2025 06:15,49,Auto Debit,Shopping,Clothing,Impulse buy,290.24,Expense,,290.24,INR,Auto Debit,2025-12-18 10:14:23
12/18/2025 06:02,46,Auto Debit,Other,Gift,Weekend plan,549.09,Expense,,549.09,INR,Auto Debit,2025-12-18 10:14:23
12/18/2025 05:17,7,Auto Debit,Health,Pharmacy,Gift received,4202.21,Income,,4202.21,INR,Auto Debit,2025-12-18 10:14:22
12/18/2025 04:24,60,UPI,Food,Snacks,Impulse buy,2281.92,Expense,,2281.92,INR,UPI,2025-12-18 10:14:23
12/18/2025 03:22,72,Debit Card,Education,Books,Weekend plan,2375.37,Expense,,2375.37,INR,Debit Card,2025-12-18 10:14:23
12/18/2025 03:18,84,Debit Card,Travel,Flights,Ride to office,1335.14,Expense,,1335.14,INR,Debit Card,2025-12-18 10:14:23
12/18/2025 03:14,99,Debit Card,Entertainment,Streaming,Ride to office,699.49,Expense,,699.49,INR,Debit Card,2025-12-18 10:14:23
12/18/2025 02:51,21,Auto Debit,Other,Donation,Quick bite,390.39,Expense,,390.39,INR,Auto Debit,2025-12-18 10:14:23
12/18/2025 02:51,93,Credit Card,Other,Misc,Weekend plan,1823.0,Expense,,1823.00,INR,Credit Card,2025-12-18 10:14:23
12/18/2025 02:15,71,Debit Card,Entertainment,Concert,Refund,565.3,Income,,565.30,INR,Debit Card,2025-12-18 10:14:23
12/18/2025 01:48,71,Debit Card,Shopping,Clothing,Weekend plan,909.91,Expense,,909.91,INR,Debit Card,2025-12-18 10:14:23
12/18/2025 00:53,10,UPI,Bills,Rent,Utility payment,993.0,Expense,,993.00,INR,UPI,2025-12-18 10:14:22
12/18/2025 00:50,15,Credit Card,Travel,Flights,Weekly stock-up,807.55,Expense,,807.55,INR,Credit Card,2025-12-18 10:14:22
12/18/2025 00:44,82,UPI,Entertainment,Movies,Weekly stock-up,1841.41,Expense,,1841.41,INR,UPI,2025-12-18 10:14:23
12/17/2025 22:05,81,UPI,Bills,Rent,Subscription,1340.82,Expense,,1340.82,INR,UPI,2025-12-18 10:14:23
12/17/2025 21:28,17,UPI,Health,Gym,Freelance payout,3306.53,Income,,3306.53,INR,UPI,2025-12-18 10:14:23
12/17/2025 21:26,82,Credit Card,Travel,Flights,Salary credit,6155.47,Income,,6155.47,INR,Credit Card,2025-12-18 10:14:23
12/17/2025 20:50,79,Auto Debit,Travel,Flights,Utility payment,2380.96,Expense,,2380.96,INR,Auto Debit,2025-12-18 10:14:23
12/17/2025 20:14,81,Wallet,Other,Gift,Weekend plan,548.09,Expense,,548.09,INR,Wallet,2025-12-18 10:14:23
12/17/2025 20:02,77,Debit Card,Shopping,Online,Weekly stock-up,1008.43,Expense,,1008.43,INR,Debit Card,2025-12-18 10:14:23
12/17/2025 18:30,7,UPI,Shopping,Essentials,Weekend plan,2434.32,Expense,,2434.32,INR,UPI,2025-12-18 10:14:22
12/17/2025 18:29,24,Auto Debit,Transportation,Fuel,Weekend plan,398.65,Expense,,398.65,INR,Auto Debit,2025-12-18 10:14:23
12/17/2025 18:16,58,Debit Card,Shopping,Essentials,Weekly stock-up,472.0,Expense,,472.00,INR,Debit Card,2025-12-18 10:14:23
12/17/2025 18:02,58,UPI,Health,Consultation,Utility payment,1737.18,Expense,,1737.18,INR,UPI,2025-12-18 10:14:23
12/17/2025 17:30,9,Wallet,Health,Pharmacy,Subscription,1165.58,Expense,,1165.58,INR,Wallet,2025-12-18 10:14:22
12/17/2025 16:38,53,Debit Card,Bills,Phone,Quick bite,607.9,Expense,,607.90,INR,Debit Card,2025-12-18 10:14:23
12/17/2025 15:58,94,Debit Card,Other,Gift,Subscription,273.28,Expense,,273.28,INR,Debit Card,2025-12-18 10:14:23
12/17/2025 15:57,34,Debit Card,Travel,Hotels,Weekly stock-up,1566.35,Expense,,1566.35,INR,Debit Card,2025-12-18 10:14:23
12/17/2025 15:37,50,Credit Card,Food,Snacks,Weekly stock-up,2358.14,Expense,,2358.14,INR,Credit Card,2025-12-18 10:14:23
12/17/2025 15:14,100,Credit Card,Travel,Tour,Weekly stock-up,2234.72,Expense,,2234.72,INR,Credit Card,2025-12-18 10:14:23
12/17/2025 14:56,53,Wallet,Travel,Flights,Weekly stock-up,1550.46,Expense,,1550.46,INR,Wallet,2025-12-18 10:14:23
12/17/2025 14:32,48,UPI,Health,Pharmacy,Weekly stock-up,1002.41,Expense,,1002.41,INR,UPI,2025-12-18 10:14:23
12/17/2025 14:17,71,Credit Card,Travel,Tour,Gift received,2219.53,Income,,2219.53,INR,Credit Card,2025-12-18 10:14:23
12/17/2025 13:12,34,Credit Card,Food,Breakfast,Impulse buy,1280.7,Expense,,1280.70,INR,Credit Card,2025-12-18 10:14:23
12/17/2025 12:46,20,Auto Debit,Bills,Phone,Impulse buy,1870.47,Expense,,1870.47,INR,Auto Debit,2025-12-18 10:14:23
12/17/2025 12:46,53,UPI,Health,Consultation,Utility payment,2263.4,Expense,,2263.40,INR,UPI,2025-12-18 10:14:23
12/17/2025 12:16,46,Credit Card,Health,Gym,Subscription,610.83,Expense,,610.83,INR,Credit Card,2025-12-18 10:14:23
12/17/2025 12:15,64,Credit Card,Travel,Flights,Weekly stock-up,1471.64,Expense,,1471.64,INR,Credit Card,2025-12-18 10:14:23
12/17/2025 11:58,24,UPI,Education,Courses,Gift received,6098.23,Income,,6098.23,INR,UPI,2025-12-18 10:14:23
12/17/2025 11:41,79,Credit Card,Education,Courses,Weekend plan,793.22,Expense,,793.22,INR,Credit Card,2025-12-18 10:14:23
12/17/2025 10:21,98,Credit Card,Transportation,Bus,Freelance payout,5314.86,Income,,5314.86,INR,Credit Card,2025-12-18 10:14:23
12/17/2025 09:53,82,Debit Card,Entertainment,Movies,Subscription,623.73,Expense,,623.73,INR,Debit Card,2025-12-18 10:14:23
12/17/2025 08:03,57,Debit Card,Travel,Flights,Impulse buy,604.2,Expense,,604.20,INR,Debit Card,2025-12-18 10:14:23
12/17/2025 07:57,3,UPI,Food,Dinner,Refund,3806.14,Income,,3806.14,INR,UPI,2025-12-18 10:14:22
12/17/2025 07:51,81,Debit Card,Other,Gift,Utility payment,2155.9,Expense,,2155.90,INR,Debit Card,2025-12-18 10:14:23
12/17/2025 05:39,98,Wallet,Travel,Tour,Impulse buy,2213.66,Expense,,2213.66,INR,Wallet,2025-12-18 10:14:23
12/17/2025 05:09,17,Credit Card,Health,Gym,Salary credit,1567.19,Income,,1567.19,INR,Credit Card,2025-12-18 10:14:23
12/17/2025 04:42,13,Debit Card,Transportation,Cab,Quick bite,512.7,Expense,,512.70,INR,Debit Card,2025-12-18 10:14:22
12/17/2025 04:20,46,UPI,Food,Dinner,Salary credit,7884.45,Income,,7884.45,INR,UPI,2025-12-18 10:14:23
12/17/2025 04:18,91,Wallet,Entertainment,Streaming,Gift received,2037.96,Income,,2037.96,INR,Wallet,2025-12-18 10:14:23
12/17/2025 03:27,82,Debit Card,Health,Consultation,Gift received,3535.75,Income,,3535.75,INR,Debit Card,2025-12-18 10:14:23
12/17/2025 03:03,15,UPI,Shopping,Essentials,Subscription,1254.95,Expense,,1254.95,INR,UPI,2025-12-18 10:14:22
12/17/2025 02:18,3,UPI,Education,Workshops,Impulse buy,712.13,Expense,,712.13,INR,UPI,2025-12-18 10:14:22
